出现时间,高关注度时间,政策,地点
2019-12-10,2020-01-22,戴口罩,湖北
2020-01-14,2020-01-28,戴口罩,环鄂地区
2020-01-17,2020-01-31,戴口罩,河南
2020-01-14,2020-01-28,戴口罩,湖南
2020-01-14,2020-02-21,戴口罩,江西
2020-01-15,2020-01-26,戴口罩,陕西
2020-01-16,2020-01-27,戴口罩,安徽
2020-01-14,2020-02-04,戴口罩,重庆
2020-01-17,2020-02-01,戴口罩,四川
2020-01-12,2020-01-29,戴口罩,沿海发达地区
2020-01-12,2020-01-26,戴口罩,广东
2020-01-14,2020-02-04,戴口罩,浙江
2020-01-14,2020-01-27,戴口罩,山东
2020-01-13,2020-01-28,戴口罩,北京
2020-01-13,2020-02-04,戴口罩,上海
2020-01-16,2020-01-31,戴口罩,福建
2020-01-15,2020-01-31,戴口罩,江苏
2020-01-15,2020-01-30,戴口罩,普通地区
2020-01-17,2020-01-31,戴口罩,内蒙古
2020-01-17,2020-02-02,戴口罩,黑龙江
2020-01-18,2020-02-03,戴口罩,贵州
2020-01-18,2020-01-28,戴口罩,山西
2020-01-17,2020-01-31,戴口罩,辽宁
2020-01-18,2020-02-03,戴口罩,广西
2020-01-18,2020-01-31,戴口罩,河北
2020-01-18,2020-01-27,戴口罩,天津
2020-01-16,2020-02-03,戴口罩,云南
2020-01-19,2020-01-31,戴口罩,宁夏
2020-01-18,2020-01-29,戴口罩,吉林
2020-01-18,2020-01-30,戴口罩,甘肃
2020-01-18,2020-01-30,戴口罩,边远地区
2020-01-18,2020-02-01,戴口罩,海南
2020-01-20,2020-01-29,戴口罩,新疆
2020-01-18,2020-02-01,戴口罩,青海
2020-01-22,2020-02-07,戴口罩,西藏
2019-12-08,2020-02-01,交通管制,湖北
2020-01-14,2020-01-30,交通管制,环鄂地区
2020-01-14,2020-02-03,交通管制,河南
2020-01-21,2020-01-31,交通管制,湖南
2020-01-14,2020-02-02,交通管制,江西
2020-01-22,2020-01-28,交通管制,陕西
2020-01-21,2020-01-27,交通管制,安徽
2020-01-23,2020-01-31,交通管制,重庆
2020-01-19,2020-02-09,交通管制,四川
2020-01-12,2020-02-01,交通管制,沿海发达地区
2020-01-12,2020-02-01,交通管制,广东
2020-01-20,2020-02-02,交通管制,浙江
2020-01-22,2020-01-30,交通管制,山东
2020-01-13,2020-03-01,交通管制,北京
2020-01-19,2020-01-31,交通管制,上海
2020-01-23,2020-02-02,交通管制,福建
2020-01-23,2020-02-07,交通管制,江苏
2020-01-15,2020-01-31,交通管制,普通地区
2020-01-16,2020-01-27,交通管制,内蒙古
2020-01-22,2020-02-03,交通管制,黑龙江
2020-01-22,2020-02-14,交通管制,贵州
2020-01-19,2020-01-27,交通管制,山西
2020-01-23,2020-01-31,交通管制,辽宁
2020-01-22,2020-02-06,交通管制,广西
2020-01-23,2020-02-02,交通管制,河北
2020-01-21,2020-02-01,交通管制,天津
2020-01-20,2020-01-26,交通管制,云南
2020-01-24,2020-01-31,交通管制,宁夏
2020-01-21,2020-01-31,交通管制,吉林
2020-01-21,2020-01-30,交通管制,甘肃
2020-01-21,2020-01-30,交通管制,边远地区
2020-01-21,2020-01-31,交通管制,海南
2020-01-24,2020-02-18,交通管制,新疆
2020-01-23,2020-01-29,交通管制,青海
2020-01-24,2020-02-15,交通管制,西藏
2019-12-29,2020-01-29,测体温,湖北
2020-01-14,2020-01-29,测体温,环鄂地区
2020-01-19,2020-01-27,测体温,河南
2020-01-14,2020-01-29,测体温,湖南
2020-01-19,2020-02-01,测体温,江西
2020-01-19,2020-02-03,测体温,陕西
2020-01-19,2020-01-28,测体温,安徽
2020-01-20,2020-02-02,测体温,重庆
2020-01-18,2020-02-02,测体温,四川
2020-01-12,2020-01-31,测体温,沿海发达地区
2020-01-17,2020-02-03,测体温,广东
2020-01-14,2020-01-31,测体温,浙江
2020-01-19,2020-01-29,测体温,山东
2020-01-17,2020-02-03,测体温,北京
2020-01-19,2020-02-05,测体温,上海
2020-01-15,2020-02-01,测体温,福建
2020-01-19,2020-02-02,测体温,江苏
2020-01-18,2020-01-30,测体温,普通地区
2020-01-20,2020-01-26,测体温,内蒙古
2020-01-20,2020-02-03,测体温,黑龙江
2020-01-22,2020-02-14,测体温,贵州
2020-01-20,2020-02-05,测体温,山西
2020-01-22,2020-01-30,测体温,辽宁
2020-01-19,2020-02-04,测体温,广西
2020-01-18,2020-01-30,测体温,河北
2020-01-18,2020-02-01,测体温,天津
2020-01-18,2020-02-04,测体温,云南
2020-01-19,2020-02-26,测体温,宁夏
2020-01-24,2020-01-31,测体温,吉林
2020-01-20,2020-01-31,测体温,甘肃
2020-01-17,2020-02-03,测体温,边远地区
2020-01-19,2020-02-02,测体温,海南
2020-01-17,2020-02-03,测体温,新疆
2020-01-19,2020-02-06,测体温,青海
2020-01-22,2020-02-10,测体温,西藏
2019-12-19,2020-01-31,居家隔离,湖北
2020-01-17,2020-02-01,居家隔离,环鄂地区
2020-01-20,2020-02-02,居家隔离,河南
2020-01-21,2020-01-31,居家隔离,湖南
2020-01-20,2020-02-02,居家隔离,江西
2020-01-20,2020-02-03,居家隔离,陕西
2020-01-17,2020-01-31,居家隔离,安徽
2020-01-23,2020-02-03,居家隔离,重庆
2020-01-21,2020-02-03,居家隔离,四川
2020-01-18,2020-02-02,居家隔离,沿海发达地区
2020-01-19,2020-02-03,居家隔离,广东
2020-01-21,2020-02-04,居家隔离,浙江
2020-01-18,2020-01-31,居家隔离,山东
2020-01-21,2020-02-21,居家隔离,北京
2020-01-19,2020-02-02,居家隔离,上海
2020-01-22,2020-02-03,居家隔离,福建
2020-01-22,2020-02-01,居家隔离,江苏
2020-01-19,2020-02-02,居家隔离,普通地区
2020-01-20,2020-02-05,居家隔离,内蒙古
2020-01-20,2020-02-03,居家隔离,黑龙江
2020-01-21,2020-02-07,居家隔离,贵州
2020-01-19,2020-02-02,居家隔离,山西
2020-01-22,2020-01-30,居家隔离,辽宁
2020-01-21,2020-02-01,居家隔离,广西
2020-01-19,2020-02-05,居家隔离,河北
2020-01-22,2020-02-04,居家隔离,天津
2020-01-22,2020-02-01,居家隔离,云南
2020-01-19,2020-02-25,居家隔离,宁夏
2020-01-19,2020-02-03,居家隔离,吉林
2020-01-20,2020-02-03,居家隔离,甘肃
2020-01-21,2020-02-01,居家隔离,边远地区
2020-01-23,2020-02-02,居家隔离,海南
2020-01-22,2020-01-31,居家隔离,新疆
2020-01-21,2020-02-01,居家隔离,青海
2020-01-22,2020-01-29,居家隔离,西藏
2019-12-13,2020-01-23,勤洗手,湖北
2020-01-14,2020-01-28,勤洗手,环鄂地区
2020-01-18,2020-01-30,勤洗手,河南
2020-01-17,2020-01-28,勤洗手,湖南
2020-01-14,2020-01-23,勤洗手,江西
2020-01-19,2020-01-26,勤洗手,陕西
2020-01-17,2020-01-31,勤洗手,安徽
2020-01-18,2020-01-23,勤洗手,重庆
2020-01-18,2020-01-29,勤洗手,四川
2020-01-12,2020-01-28,勤洗手,沿海发达地区
2020-01-12,2020-01-30,勤洗手,广东
2020-01-17,2020-01-31,勤洗手,浙江
2020-01-14,2020-01-26,勤洗手,山东
2020-01-17,2020-01-28,勤洗手,北京
2020-01-13,2020-01-30,勤洗手,上海
2020-01-19,2020-01-31,勤洗手,福建
2020-01-18,2020-02-24,勤洗手,江苏
2020-01-17,2020-01-29,勤洗手,普通地区
2020-01-18,2020-01-29,勤洗手,内蒙古
2020-01-17,2020-02-02,勤洗手,黑龙江
2020-01-18,2020-01-30,勤洗手,贵州
2020-01-19,2020-01-27,勤洗手,山西
2020-01-19,2020-01-31,勤洗手,辽宁
2020-01-18,2020-02-01,勤洗手,广西
2020-01-19,2020-01-30,勤洗手,河北
2020-01-18,2020-02-05,勤洗手,天津
2020-01-18,2020-02-07,勤洗手,云南
2020-01-19,2020-01-29,勤洗手,宁夏
2020-01-18,2020-01-28,勤洗手,吉林
2020-01-19,2020-01-31,勤洗手,甘肃
2020-01-18,2020-01-31,勤洗手,边远地区
2020-01-18,2020-01-29,勤洗手,海南
2020-01-20,2020-01-26,勤洗手,新疆
2020-01-20,2020-02-02,勤洗手,青海
2020-01-22,2020-01-31,勤洗手,西藏
2020-01-08,2020-01-28,早隔离,湖北
2020-01-18,2020-01-28,早隔离,环鄂地区
2020-01-18,2020-01-31,早隔离,河南
2020-01-18,2020-02-01,早隔离,湖南
2020-01-19,2020-02-02,早隔离,江西
2020-01-19,2020-02-12,早隔离,陕西
2020-01-20,2020-02-06,早隔离,安徽
2020-01-20,2020-01-27,早隔离,重庆
2020-01-18,2020-01-27,早隔离,四川
2020-01-17,2020-01-27,早隔离,沿海发达地区
2020-01-17,2020-02-07,早隔离,广东
2020-01-19,2020-01-26,早隔离,浙江
2020-01-19,2020-01-26,早隔离,山东
2020-01-17,2020-01-28,早隔离,北京
2020-01-19,2020-02-13,早隔离,上海
2020-01-20,2020-02-05,早隔离,福建
2020-01-19,2020-01-27,早隔离,江苏
2020-01-15,2020-01-30,早隔离,普通地区
2020-01-19,2020-01-31,早隔离,内蒙古
2020-01-19,2020-01-25,早隔离,黑龙江
2020-01-15,2020-02-03,早隔离,贵州
2020-01-19,2020-02-06,早隔离,山西
2020-01-20,2020-01-26,早隔离,辽宁
2020-01-19,2020-01-27,早隔离,广西
2020-01-18,2020-01-31,早隔离,河北
2020-01-18,2020-02-10,早隔离,天津
2020-01-20,2020-01-30,早隔离,云南
2020-01-20,2020-01-30,早隔离,宁夏
2020-01-24,2020-02-03,早隔离,吉林
2020-01-20,2020-01-30,早隔离,甘肃
2020-01-20,2020-01-31,早隔离,边远地区
2020-01-20,2020-02-09,早隔离,海南
2020-01-21,2020-01-29,早隔离,新疆
2020-01-21,2020-02-03,早隔离,青海
2020-01-25,2020-01-31,早隔离,西藏
